edge_id,avg_vehicle_count,avg_speed_kmh,total_co2_mg,avg_occupancy
-101750899#0,0.0,79.99199999999999,0.0,0.0
-101750899#1,0.0,79.99199999999999,0.0,0.0
-101750913#0,0.0,100.00800000000002,0.0,0.0
-101750913#1,0.0,100.00800000000002,0.0,0.0
-101757243#0,0.0,50.00400000000001,0.0,0.0
-101757243#1,0.0,50.00400000000001,0.0,0.0
-101757252#0,0.0,10.007999999999997,0.0,0.0
-101757252#1,0.0,10.007999999999997,0.0,0.0
-101757273#0,0.0,79.99199999999999,0.0,0.0
-101757273#1,0.0,79.99199999999999,0.0,0.0
-101757288#0,0.0,50.00400000000001,0.0,0.0
-101757288#1,0.0,50.00400000000001,0.0,0.0
-101757291#0,0.0,79.99199999999999,0.0,0.0
-101757291#1,0.0,79.99199999999999,0.0,0.0
-101757302#0,0.0,50.00400000000001,0.0,0.0
-101757302#1,0.0,50.00400000000001,0.0,0.0
-101757306#0,0.0,50.00400000000001,0.0,0.0
-101757306#1,0.0,50.00400000000001,0.0,0.0
-101757312#0,0.0,50.00400000000001,0.0,0.0
-101757312#1,0.0,50.00400000000001,0.0,0.0
-101757321#0,0.0,50.00400000000001,0.0,0.0
-101757321#1,0.0,50.00400000000001,0.0,0.0
-101757323#0,0.0,79.99199999999999,0.0,0.0
-101757323#1,0.0,79.99199999999999,0.0,0.0
-101943113#0,0.0,50.00400000000001,0.0,0.0
-101943113#1,0.0,50.00400000000001,0.0,0.0
-101943118#0,0.0,50.00400000000001,0.0,0.0
-101943118#1,0.0,50.00400000000001,0.0,0.0
-101943121#0,0.0,50.00400000000001,0.0,0.0
-101943121#1,0.0,50.00400000000001,0.0,0.0
-101943122#0,0.0,50.00400000000001,0.0,0.0
-101943122#1,0.0,50.00400000000001,0.0,0.0
-101943123#0,0.0,50.00400000000001,0.0,0.0
-101943123#1,0.0,50.00400000000001,0.0,0.0
-101943124#0,0.0,79.99199999999999,0.0,0.0
-101943124#1,0.0,79.99199999999999,0.0,0.0
-101943131#0,0.0,79.99199999999999,0.0,0.0
-101943131#1,0.0,79.99199999999999,0.0,0.0
-101943132#0,0.0,50.00400000000001,0.0,0.0
-101943132#1,0.0,50.00400000000001,0.0,0.0
-101943134#0,0.0,50.00400000000001,0.0,0.0
-101943134#1,0.0,50.00400000000001,0.0,0.0
-101943135#0,0.0,50.00400000000001,0.0,0.0
-101943135#1,0.0,50.00400000000001,0.0,0.0
-101943138#0,0.0,10.007999999999997,0.0,0.0
-101943138#1,0.0,10.007999999999997,0.0,0.0
-101943140#0,0.0,79.99199999999999,0.0,0.0
-101943140#1,0.0,79.99199999999999,0.0,0.0
-101943144#0,0.3,8.950183790552952,2420.2838722599845,0.04741833508956797
-101943144#1,0.0,10.007999999999997,0.0,0.0
-101943150#0,0.0,50.00400000000001,0.0,0.0
-101943150#1,0.0,50.00400000000001,0.0,0.0
-101943152#0,0.0,50.00400000000001,0.0,0.0
-101943152#1,0.0,50.00400000000001,0.0,0.0
-101943153#0,0.0,79.99199999999999,0.0,0.0
-101943153#1,0.0,79.99199999999999,0.0,0.0
-101943154#0,0.0,50.00400000000001,0.0,0.0
